index,cate,rate,count,throughput,latency
62,Jasmine-10,100,2,0.3938252738551836,0.317271546635183
63,Jasmine-10,200,2,0.7885987214645576,0.3160063903785152
64,Jasmine-10,500,2,1.9606063518164571,0.3171342592592593
65,Jasmine-10,1000,2,3.935507886415717,0.2692827626918536
66,Jasmine-10,2000,2,7.906690516258363,0.2433707428616958
67,Jasmine-10,5000,2,19.825814206807973,0.21545119825161393
68,Jasmine-10,10000,2,39.79730939092713,0.22958567705412283
69,Jasmine-10,20000,2,79.66172376462698,0.2210019368153665
70,Jasmine-10,40000,2,159.4167239295167,0.1813970760838608
71,Jasmine-10,80000,2,317.8731139365649,0.1463193917769673
