index,cate,rate,count,throughput,latency
50,HotStuff-512,100,2,0.3872872233460567,3.9008531348668596
51,HotStuff-512,200,2,0.7767437980152574,4.069020600476617
52,HotStuff-512,225,1,0.8379310344827586,5.97608826303155
53,HotStuff-512,250,1,0.8451965890029596,9.970655382377391
54,HotStuff-512,300,2,0.845554244063385,12.39343571007203
55,HotStuff-512,400,1,0.8525670447839486,12.64785675831571
56,HotStuff-512,800,1,0.8416409980283318,13.07106397591495
57,HotStuff-512,1600,1,0.8542039355992844,12.92964911397503
58,HotStuff-512,1800,1,0.8459269721264487,13.09101483009232
59,HotStuff-512,1850,1,0.8465516008864248,13.127047476074312
60,HotStuff-512,1900,1,0.8479966611018364,13.069150703809429
61,HotStuff-512,1950,1,0.853182316146588,12.945430879155017
